日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2014-01-02,601939,0.57,0.56,0.58,0.52,347176,142131576.0,10.17,-5.08,-0.03,0.36
2014-01-03,601939,0.53,0.52,0.55,0.47,309372,125251395.0,14.29,-7.14,-0.04,0.32
2014-01-06,601939,0.51,0.53,0.54,0.41,436140,174930927.0,25.0,1.92,0.01,0.45
2014-01-07,601939,0.49,0.46,0.5,0.44,258406,103534722.0,11.32,-13.21,-0.07,0.27
2014-01-08,601939,0.46,0.43,0.47,0.41,275150,109696543.0,13.04,-6.52,-0.03,0.29
2014-01-09,601939,0.42,0.4,0.45,0.39,198750,78929465.0,13.95,-6.98,-0.03,0.21
2014-01-10,601939,0.4,0.41,0.42,0.39,169489,67024841.0,7.5,2.5,0.01,0.18
2014-01-13,601939,0.42,0.46,0.47,0.4,261365,104153723.0,17.07,12.2,0.05,0.27
2014-01-14,601939,0.46,0.45,0.47,0.41,134297,53598661.0,13.04,-2.17,-0.01,0.14
2014-01-15,601939,0.45,0.42,0.46,0.4,141570,56138265.0,13.33,-6.67,-0.03,0.15
2014-01-16,601939,0.41,0.39,0.41,0.36,244796,96302135.0,11.9,-7.14,-0.03,0.26
2014-01-17,601939,0.37,0.38,0.39,0.33,272721,106618759.0,15.38,-2.56,-0.01,0.28
2014-01-20,601939,0.37,0.35,0.38,0.35,102425,40059705.0,7.89,-7.89,-0.03,0.11
2014-01-21,601939,0.36,0.37,0.38,0.35,120954,47403389.0,8.57,5.71,0.02,0.13
2014-01-22,601939,0.37,0.41,0.41,0.37,264891,104373102.0,10.81,10.81,0.04,0.28
2014-01-23,601939,0.39,0.37,0.4,0.36,192741,75601313.0,9.76,-9.76,-0.04,0.2
2014-01-24,601939,0.37,0.37,0.39,0.35,169461,66480984.0,10.81,0.0,0.0,0.18
2014-01-27,601939,0.36,0.36,0.37,0.34,168301,65612768.0,8.11,-2.7,-0.01,0.18
2014-01-28,601939,0.36,0.38,0.39,0.36,194826,76512798.0,8.33,5.56,0.02,0.2
2014-01-29,601939,0.38,0.41,0.42,0.38,137296,54254115.0,10.53,7.89,0.03,0.14
2014-01-30,601939,0.4,0.39,0.4,0.38,133099,52452018.0,4.88,-4.88,-0.02,0.14
2014-02-07,601939,0.37,0.38,0.38,0.35,159820,62455494.0,7.69,-2.56,-0.01,0.17
2014-02-10,601939,0.4,0.4,0.41,0.37,331550,130781858.0,10.53,5.26,0.02,0.35
2014-02-11,601939,0.39,0.45,0.48,0.37,632832,251662009.0,27.5,12.5,0.05,0.66
2014-02-12,601939,0.44,0.43,0.46,0.42,290321,115685088.0,8.89,-4.44,-0.02,0.3
2014-02-13,601939,0.43,0.44,0.49,0.42,469812,187660778.0,16.28,2.33,0.01,0.49
2014-02-14,601939,0.44,0.45,0.46,0.43,171042,68328788.0,6.82,2.27,0.01,0.18
2014-02-17,601939,0.46,0.46,0.46,0.44,282767,113179455.0,4.44,2.22,0.01,0.29
2014-02-18,601939,0.45,0.41,0.46,0.4,223346,88909267.0,13.04,-10.87,-0.05,0.23
2014-02-19,601939,0.41,0.47,0.49,0.4,429158,171862866.0,21.95,14.63,0.06,0.45
2014-02-20,601939,0.47,0.44,0.49,0.43,263382,105456914.0,12.77,-6.38,-0.03,0.27
2014-02-21,601939,0.44,0.41,0.44,0.41,200310,79627758.0,6.82,-6.82,-0.03,0.21
2014-02-24,601939,0.4,0.34,0.41,0.33,278086,108427876.0,19.51,-17.07,-0.07,0.29
2014-02-25,601939,0.34,0.32,0.35,0.3,283617,109900621.0,14.71,-5.88,-0.02,0.3
2014-02-26,601939,0.31,0.31,0.34,0.3,151289,58477671.0,12.5,-3.13,-0.01,0.16
2014-02-27,601939,0.31,0.34,0.34,0.28,234839,90686264.0,19.35,9.68,0.03,0.24
2014-02-28,601939,0.33,0.31,0.33,0.29,249332,96283952.0,11.76,-8.82,-0.03,0.26
2014-03-03,601939,0.3,0.29,0.32,0.27,310734,119475896.0,16.13,-6.45,-0.02,0.32
2014-03-04,601939,0.29,0.29,0.29,0.26,288865,110459921.0,10.34,0.0,0.0,0.3
2014-03-05,601939,0.29,0.28,0.29,0.26,209558,80199872.0,10.34,-3.45,-0.01,0.22
2014-03-06,601939,0.27,0.3,0.32,0.26,205859,78899113.0,21.43,7.14,0.02,0.21
2014-03-07,601939,0.3,0.28,0.31,0.28,194705,74842785.0,10.0,-6.67,-0.02,0.2
2014-03-10,601939,0.27,0.23,0.28,0.22,237391,90142596.0,21.43,-17.86,-0.05,0.25
2014-03-11,601939,0.23,0.23,0.24,0.21,130660,49252317.0,13.04,0.0,0.0,0.14
2014-03-12,601939,0.23,0.23,0.25,0.2,193600,72976029.0,21.74,0.0,0.0,0.2
2014-03-13,601939,0.24,0.27,0.34,0.24,374784,144045361.0,43.48,17.39,0.04,0.39
2014-03-14,601939,0.25,0.26,0.27,0.21,236569,89557364.0,22.22,-3.7,-0.01,0.25
2014-03-17,601939,0.26,0.27,0.28,0.24,156798,59695082.0,15.38,3.85,0.01,0.16
2014-03-18,601939,0.27,0.26,0.28,0.24,108579,41330936.0,14.81,-3.7,-0.01,0.11
2014-03-19,601939,0.25,0.23,0.25,0.22,124311,46977993.0,11.54,-11.54,-0.03,0.13
2014-03-20,601939,0.23,0.23,0.26,0.22,130827,49628218.0,17.39,0.0,0.0,0.14
2014-03-21,601939,0.22,0.32,0.33,0.22,391012,150309378.0,47.83,39.13,0.09,0.41
2014-03-24,601939,0.33,0.34,0.36,0.3,290949,112787126.0,18.75,6.25,0.02,0.3
2014-03-25,601939,0.32,0.32,0.35,0.3,167834,65042863.0,14.71,-5.88,-0.02,0.17
2014-03-26,601939,0.33,0.34,0.36,0.33,163996,63857057.0,9.38,6.25,0.02,0.17
2014-03-27,601939,0.35,0.37,0.4,0.32,353384,138455303.0,23.53,8.82,0.03,0.37
2014-03-28,601939,0.37,0.44,0.47,0.37,422465,168448392.0,27.03,18.92,0.07,0.44
2014-03-31,601939,0.47,0.45,0.5,0.43,391316,157091807.0,15.91,2.27,0.01,0.41
2014-04-01,601939,0.45,0.47,0.5,0.45,235358,94814558.0,11.11,4.44,0.02,0.25
2014-04-02,601939,0.48,0.47,0.48,0.45,183754,73818248.0,6.38,0.0,0.0,0.19
2014-04-03,601939,0.48,0.4,0.49,0.39,446399,177617533.0,21.28,-14.89,-0.07,0.47
2014-04-04,601939,0.39,0.44,0.45,0.38,188685,74993669.0,17.5,10.0,0.04,0.2
2014-04-08,601939,0.44,0.48,0.52,0.43,794738,320034384.0,20.45,9.09,0.04,0.83
2014-04-09,601939,0.48,0.48,0.49,0.46,286263,115354461.0,6.25,0.0,0.0,0.3
2014-04-10,601939,0.47,0.53,0.54,0.46,484905,196162132.0,16.67,10.42,0.05,0.51
2014-04-11,601939,0.52,0.51,0.53,0.5,426539,173267605.0,5.66,-3.77,-0.02,0.44
2014-04-14,601939,0.51,0.5,0.52,0.48,200627,81185504.0,7.84,-1.96,-0.01,0.21
2014-04-15,601939,0.49,0.45,0.5,0.45,185308,74441518.0,10.0,-10.0,-0.05,0.19
2014-04-16,601939,0.45,0.47,0.48,0.44,162721,65315590.0,8.89,4.44,0.02,0.17
2014-04-17,601939,0.46,0.44,0.48,0.44,100251,40138431.0,8.51,-6.38,-0.03,0.1
2014-04-18,601939,0.44,0.43,0.44,0.41,160660,63834959.0,6.82,-2.27,-0.01,0.17
2014-04-21,601939,0.42,0.4,0.45,0.4,161663,64300287.0,11.63,-6.98,-0.03,0.17
2014-04-22,601939,0.4,0.42,0.43,0.39,131782,52228058.0,10.0,5.0,0.02,0.14
2014-04-23,601939,0.41,0.41,0.42,0.4,199884,79117497.0,4.76,-2.38,-0.01,0.21
2014-04-24,601939,0.41,0.41,0.43,0.39,144576,57191367.0,9.76,0.0,0.0,0.15
2014-04-25,601939,0.41,0.42,0.44,0.4,250196,99486185.0,9.76,2.44,0.01,0.26
2014-04-28,601939,0.42,0.43,0.45,0.41,278906,110919729.0,9.52,2.38,0.01,0.29
2014-04-29,601939,0.43,0.43,0.44,0.4,218608,86752779.0,9.3,0.0,0.0,0.23
2014-04-30,601939,0.43,0.41,0.44,0.4,139656,55343876.0,9.3,-4.65,-0.02,0.15
2014-05-05,601939,0.4,0.4,0.41,0.37,273097,107541609.0,9.76,-2.44,-0.01,0.28
2014-05-06,601939,0.39,0.39,0.42,0.39,183370,72573308.0,7.5,-2.5,-0.01,0.19
2014-05-07,601939,0.39,0.39,0.41,0.38,165841,65509097.0,7.69,0.0,0.0,0.17
2014-05-08,601939,0.39,0.41,0.44,0.39,180286,71450184.0,12.82,5.13,0.02,0.19
2014-05-09,601939,0.41,0.42,0.42,0.4,146392,58023623.0,4.88,2.44,0.01,0.15
2014-05-12,601939,0.43,0.45,0.46,0.41,324196,129354076.0,11.9,7.14,0.03,0.34
2014-05-13,601939,0.44,0.43,0.45,0.42,167665,66779180.0,6.67,-4.44,-0.02,0.17
